MB0001	L
MB0002	L
MB0003	L
MB0004	R
MB0005	L
MB0006	L
MB0009	O
MB0012	S
MB0013	H
MB0014c	L
MB0014c	S
MB0015c	L
MB0016c	M
MB0017c	D
MB0018c	T
MB0019c	T
MB0020c	T
MB0021c	R
MB0023	K
MB0024	M
MB0025	M
MB0033	H
MB0034	Q
MB0035	R
MB0036	Q
MB0038c	R
MB0039	K
MB0042	J
MB0043c	K
MB0044c	K
MB0045c	C
MB0046c	R
MB0047c	I
MB0048c	K
MB0051	M
MB0052	S
MB0053	R
MB0054	J
MB0055	L
MB0056	J
MB0057	J
MB0059	L
MB0061	R
MB0063	G
MB0064	C
MB0065	S
MB0066	R
MB0067c	C
MB0068c	K
MB0069	R
MB0070c	E
MB0071c	E
MB0072	L
MB0073	V
MB0076	Q
MB0077	E
MB0079c	R
MB0082	J
MB0084	K
MB0085	C
MB0087	C
MB0088	C
MB0091	J
MB0092	R
MB0093	P
MB0093	S
MB0094	F
MB0100	Q
MB0102	Q
MB0103	Q
MB0104	Q
MB0105	S
MB0108c	J
MB0109	R
MB0114	R
MB0115	I
MB0116	G
MB0117	G
MB0120c	S
MB0121	K
MB0123	Q
MB0126c	R
MB0130	O
MB0131	G
MB0133	S
MB0134c	R
MB0135	I
MB0136c	I
MB0140c	K
MB0141	Q
MB0142c	O
MB0145	S
MB0146c	R
MB0147	L
MB0149	K
MB0150	Q
MB0151	Q
MB0152	C
MB0153	R
MB0154	R
MB0159c	I
MB0160	C
MB0162	C
MB0163	K
MB0166	C
MB0167c	C
MB0168	R
MB0169	I
MB0173	Q
MB0174	Q
MB0178	Q
MB0179	Q
MB0186c	S
MB0187c	R
MB0188c	K
MB0189	I
MB0193	R
MB0195c	G
MB0196	S
MB0197	G
MB0201	K
MB0202	K
MB0204c	O
MB0207c	K
MB0208c	R
MB0213c	S
MB0214c	R
MB0217	C
MB0218c	H
MB0219c	C
MB0222	I
MB0226	I
MB0230	M
MB0233	I
MB0234c	R
MB0236	I
MB0237	K
MB0239c	C
MB0244	K
MB0247c	I
MB0248c	R
MB0249	I
MB0251	R
MB0253c	C
MB0254c	C
MB0257c	O
MB0258	C
MB0259	R
MB0260c	H
MB0261c	H
MB0266c	H
MB0266c	K
MB0267c	P
MB0268c	R
MB0269c	E
MB0270c	E
MB0271c	P
MB0272c	Q
MB0273	P
MB0274c	D
MB0275c	L
MB0276	Q
MB0277c	I
MB0279c	K
MB0280	E
MB0282	S
MB0289	Q
MB0296	S
MB0299	O
MB0301c	R
MB0302	R
MB0303c	S
MB0304c	P
MB0309	R
MB0311	R
MB0314	C
MB0316	I
MB0317	S
MB0324	Q
MB0325c	C
MB0327	O
MB0330	M
MB0335	K
MB0337c	K
MB0338	R
MB0341	M
MB0344c	E
MB0346c	K
MB0350	R
MB0354c	E
MB0356	K
MB0358	O
MB0360	O
MB0361	K
MB0363c	Q
MB0364c	F
MB0370c	G
MB0372c	G
MB0373c	S
MB0376c	S
MB0378c	R
MB0381c	C
MB0382c	C
MB0383c	O
MB0386	S
MB0387c	J
MB0389c	F
MB0391c	O
MB0392	C
MB0396	P
MB0397	E
MB0405c	V
MB0406c	I
MB0414c	R
MB0415	C
MB0417	C
MB0418c	L
MB0419c	T
MB0421	R
MB0422c	H
MB0424	H
MB0426	R
MB0429c	R
MB0430c	H
MB0431c	H
MB0435c	L
MB0440	P
MB0441	S
MB0443c	O
MB0445c	I
MB0447c	R
MB0448	O
MB0453c	K
MB0454c	S
MB0455c	M
MB0456c	S
MB0457c	R
MB0460	K
MB0462	J
MB0465c	T
MB0464c	I
MB0467	C
MB0468	S
MB0471	C
MB0473c	S
MB0475	I
MB0476	C
MB0477	I
MB0478	M
MB0480c	H
MB0479c	M
MB0482c	K
MB0483	S
MB0484	K
MB0488	F
MB0492	M
MB0493	S
MB0495	G
MB0496	M
MB0498	R
MB0499	G
MB0500	T
MB0501	K
MB0505	K
MB0507	P
MB0509	G
MB0510	C
MB0512	P
MB0513	G
MB0514	I
MB0515c	M
MB0517c	E
MB0520	C
MB0521	H
MB0523	H
MB0524	H
MB0529c	T
MB0531	O
MB0532c	R
MB0533	R
MB0535	E
MB0537	H
MB0538	G
MB0539	C
MB0540	O
MB0541	O
MB0542	O
MB0543	D
MB0547c	I
MB0548c	H
MB0549	F
MB0550	G
MB0553	M
MB0554	S
MB0556c	Q
MB0560c	E
MB0561c	R
MB0562c	H
MB0565c	R
MB0566c	Q
MB0567	R
MB0568	R
MB0569	R
MB0570	H
MB0572	M
MB0573	H
MB0575c	R
MB0576c	C
MB0577	H
MB0578	O
MB0579c	C
MB0580c	P
MB0581c	S
MB0583	Q
MB0586c	I
MB0586c	R
MB0588c	H
MB0592	R
MB0594	S
MB0597	R
MB0601	K
MB0602	Q
MB0603	Q
MB0610	Q
MB0611c	R
MB0612c	D
MB0613c	R
MB0615c	K
MB0616c	T
MB0617c	T
MB0621	L
MB0622	L
MB0624	S
MB0625	S
MB0630c	U
MB0634	R
MB0635	C
MB0636	G
MB0637	G
MB0639	S
MB0640	S
MB0641c	S
MB0642	D
MB0643	R
MB0644c	S
MB0645c	L
MB0646c	L
MB0647c	L
MB0648c	L
MB0649c	I
MB0653	J
MB0651c	R
MB0655	I
MB0657	U
MB0658	K
MB0659	J
MB0660	J
MB0661c	M
MB0662c	M
MB0663c	M
MB0664c	M
MB0665c	R
MB0666c	R
MB0667	G
MB0669	G
MB0670	J
MB0671	J
MB0672c	K
MB0673	Q
MB0674	Q
MB0676c	K
MB0677c	R
MB0678c	T
MB0682	P
MB0686	K
MB0687	K
MB0689	L
MB0690	Q
MB0691	I
MB0692	I
MB0693	K
MB0694	I
MB0695c	R
MB0696c	O
MB0700	K
MB0701	J
MB0702	J
MB0703	J
MB0704	J
MB0706	R
MB0707	R
MB0709c	S
MB0710c	K
MB0712	R
MB0713	C
MB0714	R
MB0715	M
MB0716	E
MB0720	J
MB0721	J
MB0722	J
MB0723	J
MB0724	J
MB0725	J
MB0726	J
MB0727	J
MB0728	J
MB0729	J
MB0730	J
MB0731	P
MB0732	P
MB0733	S
MB0735	J
MB0736	J
MB0737	J
MB0738	J
MB0739	J
MB0740	J
MB0741	J
MB0742	J
MB0743	J
MB0744	J
MB0745	U
MB0746c	Q
MB0747c	Q
MB0748c	G
MB0749c	E
MB0750	G
MB0752c	Q
MB0753	U
MB0754	F
MB0755	J
MB0756	K
MB0757	K
MB0758	K
MB0762	L
MB0773c	I
MB0774c	I
MB0775c	C
MB0776	G
MB0778c	L
MB0779c	H
MB0780	K
MB0781	T
MB0782c	R
MB0784c	C
MB0786c	C
MB0787c	Q
MB0788c	R
MB0789c	Q
MB0791	C
MB0792	R
MB0793	I
MB0794	S
MB0795	F
MB0796c	E
MB0797c	R
MB0798	S
MB0799c	S
MB0800	F
MB0801	Q
MB0802c	V
MB0803	F
MB0804	E
MB0805c	R
MB0806	R
MB0807	R
MB0808	R
MB0809c	R
MB0810	F
MB0811	F
MB0812	F
MB0814c	E
MB0815c	C
MB0816c	K
MB0817	S
MB0818c	C
MB0819c	C
MB0820	L
MB0821c	S
MB0822c	P
MB0823	E
MB0825c	J
MB0826	F
MB0827	R
MB0828	R
MB0831	F
MB0832	F
MB0834c	R
MB0835	H
MB0838c	P
MB0839c	C
MB0841	K
MB0842	R
MB0843	P
MB0844c	P
MB0845c	K
MB0846c	J
MB0848c	K
MB0849	S
MB0850c	K
MB0851c	J
MB0852	L
MB0853	Q
MB0859c	S
MB0860c	S
MB0861	M
MB0862	R
MB0863c	R
MB0864	R
MB0866	C
MB0867c	K
MB0868	T
MB0869c	Q
MB0871	E
MB0872	R
MB0873	L
MB0874c	R
MB0875	I
MB0876c	R
MB0877	H
MB0878	C
MB0881c	E
MB0882	I
MB0883	I
MB0884c	L
MB0888	H
MB0889	H
MB0890	H
MB0892c	H
MB0893c	H
MB0894c	S
MB0895	K
MB0897	I
MB0898c	S
MB0900c	R
MB0904	K
MB0905	J
MB0908c	E
MB0910	C
MB0910	R
MB0911c	S
MB0913c	C
MB0914c	K
MB0914c	R
MB0915c	T
MB0916	P
MB0917c	Q
MB0918	R
MB0919	Q
MB0920	C
MB0921c	Q
MB0923	M
MB0926c	T
MB0927c	K
MB0928c	I
MB0929	I
MB0930	R
MB0931	V
MB0932	P
MB0935	R
MB0937c	Q
MB0938c	I
MB0941	M
MB0942	S
MB0943	R
MB0944c	L
MB0945	L
MB0946	L
MB0947c	R
MB0947c	S
MB0948c	P
MB0949c	S
MB0950c	R
MB0951	P
MB0952	P
MB0953	P
MB0954c	L
MB0955c	L
MB0954c	S
MB0955c	S
MB0956c	P
MB0957	P
MB0958	P
MB0959	P
MB0960	P
MB0961	P
MB0962c	S
MB0963	L
MB0964	Q
MB0964	R
MB0965c	C
MB0968c	P
MB0969	L
MB0970	R
MB0971c	G
MB0973c	E
MB0974	L
MB0975c	M
MB0976	C
MB0977	C
MB0978c	C
MB0981	F
MB0982	F
MB0983	H
MB0984	R
MB0985	R
MB0987c	C
MB0987c	E
MB0992	S
MB0994	P
MB0996c	I
MB0997c	I
MB0998c	I
MB0999c	I
MB1000c	I
MB1003c	S
MB1006c	S
MB1007	K
MB1008	T
MB1009	O
MB1010	H
MB1011c	M
MB1012	V
MB1013	V
MB1014	V
MB1015	R
MB1016c	H
MB1018c	S
MB1019c	H
MB1020	M
MB1021	H
MB1022	J
MB1025	R
MB1025	T
MB1027c	L
MB1028	E
MB1029c	O
MB1030	R
MB1032c	H
MB1034c	J
MB1035	L
MB1036	S
MB1037	J
MB1038	I
MB1041	Q
MB1042c	J
MB1043c	J
MB1045c	E
MB1046c	M
MB1047	K
MB1048	K
MB1049	R
MB1050	M
MB1051	G
MB1052	D
MB1053	S
MB1054	P
MB1055c	K
MB1056c	T
MB1058	P
MB1059	P
MB1060	P
MB1061c	T
MB1062c	K
MB1063c	L
MB1070c	L
MB1071c	L
MB1072c	O
MB1076	L
MB1078	K
MB1079	R
MB1085	S
MB1086	S
MB1087	Q
MB1088	E
MB1088	S
MB1090	R
MB1091	R
MB1092c	R
MB1095	P
MB1098c	S
MB1099c	I
MB1100c	I
MB1101	S
MB1103c	I
MB1104c	E
MB1105	I
MB1106	E
MB1106	R
MB1107	S
MB1108	E
MB1109c	K
MB1111	S
MB1113	O
MB1114c	R
MB1115	I
MB1116A	I
MB1122c	H
MB1123	E
MB1125	T
MB1126	G
MB1128c	C
MB1129c	G
MB1131c	R
MB1132c	T
MB1134	I
MB1135	I
MB1136c	G
MB1137c	L
MB1138c	L
MB1140	M
MB1142	J
MB1144	R
MB1145	M
MB1148	S
MB1151c	T
MB1152	G
MB1153	G
MB1154c	R
MB1155	R
MB1156	E
MB1158c	G
MB1160c	K
MB1160c	R
MB1161	R
MB1162	C
MB1164c	E
MB1167	I
MB1168	I
MB1170c	C
MB1171c	S
MB1172	R
MB1173c	I
MB1174c	I
MB1175	C
MB1176	R
MB1177	R
MB1178	R
MB1180	L
MB1182c	K
MB1183	K
MB1184c	Q
MB1185c	S
MB1187	L
MB1191c	H
MB1192	R
MB1193	C
MB1194	C
MB1195	C
MB1196	C
MB1197	T
MB1198	E
MB1199c	K
MB1203	S
MB1206	R
MB1208c	C
MB1208c	R
MB1209c	K
MB1210	C
MB1211	E
MB1212c	L
MB1213	Q
MB1214	Q
MB1215	R
MB1216c	R
MB1217c	Q
MB1218c	Q
MB1219	C
MB1220	E
MB1221	K
MB1222	R
MB1223	R
MB1224	R
MB1225	Q
MB1226c	Q
MB1231c	L
MB1232	R
MB1233c	E
MB1234	E
MB1236c	R
MB1237	R
MB1238	Q
MB1239	H
MB1240	M
MB1242	L
MB1244c	M
MB1245	G
MB1247c	R
MB1248c	O
MB1249c	M
MB1250c	V
MB1251c	K
MB1252c	R
MB1253	K
MB1255	O
MB1256	U
MB1257c	G
MB1258c	S
MB1259c	S
MB1261c	D
MB1262c	M
MB1263c	S
MB1264c	P
MB1267	G
MB1268	G
MB1269	G
MB1270	G
MB1271c	P
MB1272	C
MB1276	M
MB1277c	R
MB1278c	D
MB1279c	D
MB1280c	C
MB1282	R
MB1283c	L
MB1283c	R
MB1285	J
MB1286	I
MB1287c	C
MB1288c	R
MB1289	L
MB1290	C
MB1291	C
MB1293c	R
MB1294	J
MB1295	T
MB1298c	T
MB1303c	V
MB1304c	V
MB1307c	T
MB1308	L
MB1309	L
MB1309	S
MB1310	E
MB1311c	E
MB1312c	R
MB1313c	P
MB1314c	P
MB1315	P
MB1316	H
MB1317	P
MB1318	K
MB1319	M
MB1319	R
MB1321c	S
MB1324	J
MB1325	E
MB1326	E
MB1327	E
MB1328	E
MB1329	K
MB1330	J
MB1331	J
MB1332	J
MB1333	J
MB1334	M
MB1336	C
MB1337	C
MB1338	C
MB1339	C
MB1340	C
MB1341	C
MB1342	C
MB1343	C
MB1345c	L
MB1346c	L
MB1347c	S
MB1348	M
MB1349c	L
MB1350c	F
MB1351c	F
MB1350c	L
MB1351c	L
MB1352c	T
MB1353c	T
MB1354c	T
MB1355	L
MB1357c	E
MB1358	I
MB1359	O
MB1361c	G
MB1362c	G
MB1363	G
MB1364c	L
MB1365c	H
MB1366	S
MB1368	Q
MB1369	R
MB1370	H
MB1371	E
MB1372	R
MB1373	M
MB1374	R
MB1375	J
MB1376	F
MB1378c	K
MB1379	Q
MB1380	Q
MB1381	I
MB1382c	J
MB1383	P
MB1383	V
MB1384	V
MB1385	R
MB1388c	K
MB1389c	T
MB1390c	H
MB1392c	T
MB1393	K
MB1393	R
MB1393	T
MB1394	T
MB1395	C
MB1399c	K
MB1399c	T
MB1400c	T
MB1401	S
MB1402c	V
MB1406	Q
MB1410	S
MB1411	S
MB1412c	R
MB1413c	V
MB1414	F
MB1415	F
MB1416	F
MB1418	F
MB1419	F
MB1420	F
MB1424	F
MB1425	K
MB1426	H
MB1427	H
MB1428c	P
MB1429c	Q
MB1430	K
MB1432c	R
MB1434c	I
MB1435c	I
MB1436	S
MB1437	L
MB1438c	R
MB1439	K
MB1440c	R
MB1441	J
MB1442	J
MB1443	G
MB1444	H
MB1445c	R
MB1447	H
MB1448	E
MB1449	E
MB1450	H
MB1451	H
MB1455	L
MB1456	R
MB1457	S
MB1458	S
MB1461c	I
MB1462c	Q
MB1463c	I
MB1464	Q
MB1467	Q
MB1468	S
MB1471	G
MB1472	G
MB1473	G
MB1475	U
MB1477	C
MB1478c	S
MB1479c	L
MB1480c	G
MB1481c	G
MB1482c	G
MB1483c	G
MB1484c	G
MB1486	O
MB1488	Q
MB1489c	R
MB1491c	O
MB1492c	V
MB1493c	V
MB1495	K
MB1496	L
MB1496	O
MB1497	O
MB1498	O
MB1499	E
MB1500	C
MB1501	R
MB1502c	I
MB1504	P
MB1505	C
MB1506	C
MB1507	I
MB1508	R
MB1510c	K
MB1511c	C
MB1513	M
MB1514	M
MB1515	R
MB1516	R
MB1517	R
MB1519	R
MB1520	I
MB1521	H
MB1523	U
MB1524	O
MB1526	I
MB1528c	S
MB1529	I
MB1530	I
MB1532	T
MB1533	E
MB1534	V
MB1536c	S
MB1535c	R
MB1538	M
MB1539	Q
MB1540	G
MB1541	G
MB1542c	M
MB1543c	R
MB1545	M
MB1547	M
MB1548	Q
MB1549c	R
MB1550	R
MB1551	C
MB1552	R
MB1553c	C
MB1554c	Q
MB1556	Q
MB1557	R
MB1558	S
MB1559c	Q
MB1560	R
MB1561	K
MB1563	J
MB1564	L
MB1565c	J
MB1566	U
MB1567	J
MB1568c	R
MB1568c	S
MB1569c	R
MB1570	R
MB1571	R
MB1574	L
MB1576	I
MB1577	I
MB1578	C
MB1579	C
MB1581	K
MB1583	R
MB1585	E
MB1586	K
MB1587	R
MB1588c	G
MB1589c	G
MB1590c	G
MB1591c	G
MB1592c	I
MB1593c	M
MB1595	H
MB1596	H
MB1597	H
MB1602c	R
MB1603c	R
MB1604c	L
MB1608c	R
MB1612c	L
MB1615	H
MB1619c	F
MB1620	H
MB1621	H
MB1622	H
MB1623	R
MB1625	E
MB1626	E
MB1627	E
MB1628	E
MB1629	E
MB1630	G
MB1631	E
MB1632	E
MB1633	P
MB1634c	O
MB1635	H
MB1637	E
MB1638	E
MB1639	E
MB1640	M
MB1641	S
MB1643	G
MB1644	I
MB1645	S
MB1646c	V
MB1647c	O
MB1648c	C
MB1649c	C
MB1650c	S
MB1651c	T
MB1652	T
MB1653c	I
MB1654c	R
MB1655	L
MB1656	J
MB1657	H
MB1657	S
MB1658c	S
MB1659	L
MB1660	R
MB1662	T
MB1663c	R
MB1664	L
MB1665c	T
MB1666c	R
MB1667c	J
MB1667c	S
MB1668	J
MB1669	J
MB1670	J
MB1671	J
MB1672c	S
MB1674	T
MB1676	J
MB1677	J
MB1677	R
MB1680	E
MB1681	E
MB1682	E
MB1683	E
MB1684	E
MB1685	K
MB1686	E
MB1687	E
MB1688	Q
MB1689	Q
MB1690	Q
MB1691	Q
MB1692	Q
MB1693	Q
MB1694c	Q
MB1695c	R
MB1697	S
MB1699c	R
MB1700c	E
MB1701c	K
MB1701c	P
MB1702c	T
MB1703	E
MB1704	C
MB1706	I
MB1707	P
MB1708	R
MB1710	I
MB1710	Q
MB1710A	S
MB1711c	K
MB1712c	V
MB1713c	V
MB1714	L
MB1715	J
MB1717	R
MB1718	G
MB1720	J
MB1721	G
MB1722	L
MB1723	S
MB1725	F
MB1726	R
MB1727	L
MB1728c	C
MB1729c	R
MB1730c	E
MB1733c	R
MB1734	P
MB1735	D
MB1736	S
MB1737	K
MB1738	J
MB1739	F
MB1740	R
MB1741	R
MB1742	I
MB1743	I
MB1744	R
MB1745	G
MB1745	S
MB1746	S
MB1748	K
MB1749c	R
MB1751	I
MB1752	V
MB1754c	K
MB1755	C
MB1758c	Q
MB1759c	V
MB1760	C
MB1761c	C
MB1763c	C
MB1764c	P
MB1765c	C
MB1766c	P
MB1768c	P
MB1769	S
MB1770	S
MB1772	L
MB1774c	I
MB1775	L
MB1776	V
MB1779c	Q
MB1780	C
MB1781	R
MB1793c	S
MB1795c	L
MB1794c	K
MB1795A	S
MB1796	S
MB1798	E
MB1799	R
MB1800	C
MB1801	T
MB1802c	K
MB1803	C
MB1805c	K
MB1806	Q
MB1810c	G
MB1812	D
MB1813c	Q
MB1814	C
MB1824	O
MB1826	O
MB1841	S
MB1842c	C
MB1844	I
MB1846	K
MB1848	C
MB1850c	R
MB1851	H
MB1852	U
MB1853	I
MB1854	S
MB1855	S
MB1856	S
MB1857	E
MB1858	T
MB1859	K
MB1860	S
MB1861	K
MB1863	E
MB1864c	R
MB1865	R
MB1866c	R
MB1868c	C
MB1869c	R
MB1872c	R
MB1873c	R
MB1874c	F
MB1874c	R
MB1875c	G
MB1876c	O
MB1877c	K
MB1878	Q
MB1879	E
MB1880	E
MB1881	E
MB1882	O
MB1883	K
MB1885c	C
MB1886c	C
MB1887c	R
MB1888	P
MB1889	P
MB1890	G
MB1890	P
MB1892	S
MB1893	R
MB1894c	R
MB1895c	S
MB1896c	R
MB1897	C
MB1898	I
MB1899	G
MB1900c	R
MB1903c	C
MB1904	S
MB1907	P
MB1908	R
MB1909	R
MB1910	E
MB1911	R
MB1912c	Q
MB1914c	R
MB1917c	E
MB1918c	R
MB1921c	Q
MB1922c	Q
MB1923c	S
MB1927c	R
MB1928	R
MB1929	R
MB1931c	Q
MB1932c	J
MB1933	S
MB1934c	R
MB1935c	R
MB1935c	T
MB1936	R
MB1937c	R
MB1938	S
MB1939	T
MB1940c	E
MB1943c	P
MB1944c	P
MB1945c	R
MB1946c	R
MB1947c	R
MB1948	R
MB1950	C
MB1955	I
MB1956c	F
MB1957	V
MB1958	V
MB1960	Q
MB1962	S
MB1963c	R
MB1965c	R
MB1966c	K
MB1967	O
MB1968c	I
MB1969c	I
MB1970c	I
MB1971	C
MB1972	C
MB1973	R
MB1974	R
MB1975	H
MB1976	R
MB1977c	T
MB1979c	U
MB1988	R
MB1990	S
MB1991	K
MB1994c	R
MB1995c	K
MB1997c	R
MB1998c	K
MB1999	Q
MB2000	R
MB2001c	E
MB2003c	F
MB2004c	S
MB2007c	K
MB2008	R
MB2010	J
MB2011c	S
MB2013c	R
MB2012c	K
MB2014c	T
MB2015c	P
MB2017c	K
MB2018	S
MB2019	T
MB2020	P
MB2021c	G
MB2022c	E
MB2023	E
MB2023	R
MB2024	I
MB2025	R
MB2026c	R
MB2027c	R
MB2027c	S
MB2028c	T
MB2029	G
MB2029	R
MB2030c	C
MB2031c	J
MB2031c	R
MB2032	K
MB2033	R
MB2034c	K
MB2035	R
MB2036	L
MB2037	L
MB2040	E
MB2040	K
MB2041	S
MB2043c	R
MB2044c	K
MB2045c	S
MB2050c	P
MB2051c	T
MB2052c	T
MB2053c	T
MB2054c	G
MB2055c	R
MB2056c	R
MB2057c	O
MB2058	C
MB2060	K
MB2063c	R
MB2064c	G
MB2065c	G
MB2066c	G
MB2067c	G
MB2069c	Q
MB2071c	I
MB2072	Q
MB2073c	G
MB2074c	Q
MB2077c	M
MB2078c	R
MB2080	Q
MB2081c	J
MB2082c	J
MB2083c	J
MB2084c	J
MB2085	P
MB2086	P
MB2087c	R
MB2088c	H
MB2090	P
MB2091	H
MB2092	H
MB2093c	R
MB2094c	V
MB2095	K
MB2096c	H
MB2097c	H
MB2098c	H
MB2099c	H
MB2113	L
MB2114	L
MB2115	L
MB2116c	E
MB2117	L
MB2119c	L
MB2120c	U
MB2121c	U
MB2122c	K
MB2123c	K
MB2127	L
MB2128	S
MB2129c	R
MB2133c	O
MB2134c	O
MB2139c	O
MB2141	S
MB2142c	J
MB2143	L
MB2144c	S
MB2145c	E
MB2146c	E
MB2148c	E
MB2149	R
MB2151	E
MB2153c	R
MB2154c	J
MB2155c	P
MB2159c	G
MB2160c	V
MB2163	F
MB2164c	R
MB2165c	E
MB2167	R
MB2169c	D
MB2170c	S
MB2171c	S
MB2172c	R
MB2173c	S
MB2174c	D
MB2175c	M
MB2176c	M
MB2177c	M
MB2178c	D
MB2179c	M
MB2180c	M
MB2181c	M
MB2182c	M
MB2184c	K
MB2185c	C
MB2187c	M
MB2189c	M
MB2190c	S
MB2192	R
MB2195	H
MB2198	L
MB2199c	L
MB2200c	E
MB2204c	I
MB2206c	P
MB2209	I
MB2210	I
MB2211c	M
MB2213c	M
MB2214	L
MB2215c	E
MB2216	C
MB2217	C
MB2218	C
MB2219	C
MB2223c	C
MB2224	E
MB2225c	G
MB2227c	S
MB2228c	G
MB2230	H
MB2231	H
MB2233c	H
MB2234c	E
MB2235	T
MB2236	E
MB2237c	R
MB2238	C
MB2239	R
MB2240	H
MB2241	H
MB2244	E
MB2245c	T
MB2246c	E
MB2247c	R
MB2248c	R
MB2249	H
MB2250	S
MB2251	S
MB2252	S
MB2253c	G
MB2253c	L
MB2254c	R
MB2255c	S
MB2256c	E
MB2257	R
MB2258	T
MB2259	S
MB2260c	H
MB2261	S
MB2262c	O
MB2265	C
MB2266	Q
MB2267	I
MB2268	Q
MB2269	Q
MB2270	Q
MB2271	I
MB2273c	C
MB2275	C
MB2274c	K
MB2276	R
MB2281c	V
MB2282c	R
MB2283	C
MB2284	R
MB2285c	M
MB2286	R
MB2287c	O
MB2288	R
MB2289	Q
MB2290c	R
MB2291c	Q
MB2295	S
MB2299	Q
MB2300c	C
MB2301	C
MB2302	P
MB2303c	K
MB2305	I
MB2307c	Q
MB2308c	Q
MB2309	P
MB2311	I
MB2314	P
MB2315c	F
MB2316	E
MB2317	S
MB2318	R
MB2320	C
MB2321c	O
MB2322c	R
MB2325c	R
MB2328	S
MB2328	V
MB2329	S
MB2330c	R
MB2334	S
MB2335c	L
MB2337	P
MB2338	L
MB2340c	S
MB2341c	R
MB2342c	R
MB2343	G
MB2344	G
MB2345	G
MB2346c	T
MB2347c	E
MB2348c	E
MB2349c	E
MB2350c	E
MB2351	K
MB2352c	P
MB2353c	P
MB2354	K
MB2356c	P
MB2358	C
MB2358	P
MB2359	P
MB2360	C
MB2361c	R
MB2362	E
MB2363	E
MB2364	J
MB2366c	H
MB2367	R
MB2368	R
MB2372c	L
MB2373c	F
MB1784c	M
MB2378c	J
MB2379	K
MB2380	P
MB2382c	I
MB2383c	L
MB2384	J
MB2385c	R
MB2387c	R
MB2388c	R
MB2389c	T
MB2393c	S
MB2394c	O
MB2395c	K
MB2398c	S
MB2399c	Q
MB2400c	Q
MB2401c	Q
MB2402c	Q
MB2403c	Q
